family,R,H,SA,V,n_t2000,n_t15000,n_t134900,n_eq,pct_eq_t15000,early_leadership_share,SA_V,L_c
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.9584,0.0,22109.9015,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,64.1319,0.0602,22698.2672,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,60.4357,0.0,21201.6923,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,63.7757,0.0,23097.2802,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,67.6484,0.0,25114.0445,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,71.1053,0.0326,27263.9886,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,73.237,0.005,29560.7546,0.0
cylinder_recessed,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.51,0.0,22381.662,0.0
cylinder_recessed,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,69.8779,0.0,26467.6105,0.0
cylinder_recessed,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,78.1775,0.0,31324.7658,0.0
cylinder_recessed,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,85.1914,0.0627,37194.2244,0.0
cylinder_recessed,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,88.8683,0.807,44429.2695,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.3133,21951.2195,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0301,21951.2195,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.01,21951.2195,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.1454,21951.2195,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.015,21951.2195,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0201,21951.2195,0.0
square_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0755,0.0727,21951.2195,0.0
